,Dollar (5.4),Peso (2.5),Pound (1.4),Euro (4.6),Rial (3.9),Dinar (5.9),Franc (10.2),Crown (4.1),Guilder (7),Rupee (9.3)
Dollar (5.4),0,1.8,0,14.8,0,0,0,0,0,6.7
Peso (2.5),0,0,12.8,0,17.9,0,0,0,0,0
Pound (1.4),0,3.1,0,1.4,0,16,0,0,0,7.9
Euro (4.6),0,0,9.9,0,5,0,0,0,0,0
Rial (3.9),0,0,4.7,13.8,0,0,0,0,0,0
Dinar (5.9),46.1,21.7,0,0,0,0,0,0,0,0
Franc (10.2),6.7,1.5,0,0,0,0,0,0,15.5,0
Crown (4.1),0,0,11.5,9,0,0,3.7,0,0,0
Guilder (7),0,12.8,0,4.6,0,0,0,0,0,8
Rupee (9.3),1.5,2.1,0,16.3,12.3,0,0,0,0,0
,,,,,,,,,,
What is the shortest path from Rupees to Pesos?,,,,,,,,,,
